utm_source,utm_medium,utm_campaign,utm_content,visit_date,UV,purchase_1d,purchase_3d,purchase_7d,cvr_1d,cvr_3d,cvr_7d,결제금액_1d,결제품목_1d,결제금액_3d,결제품목_3d,결제금액_7d,결제품목_7d,결제금액_total_1d,결제품목_total_1d,purchase_total_1d,결제금액_total_3d,결제품목_total_3d,purchase_total_3d,결제금액_total_7d,결제품목_total_7d,purchase_total_7d,UV_total,날짜_dt
youtube,video,influencer,joetube,2026-06-02,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-06-02
youtube,video,influencer,joetube,2026-06-01,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-06-01
web_page,content,2606_blog,260601_detail_page,2026-06-01,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,2,2026-06-01
youtube,video,influencer,sunjamom,2026-06-01,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,6217000,-,0,7006000,-,1,8501000,-,2,7669,2026-06-01
kakao,text,2602_kakao,chat_menu,2026-06-01,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,-,2,1097000,-,2,1097000,-,2,230,2026-06-01
naver,text,26_naver,260408_blog_phase1,2026-06-01,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,99,2026-06-01
kakao,content,2604_kakao,260421_kakao_profile,2026-06-01,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-06-01
kakao,text,chatroom,menu_gongjindan,2026-06-01,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-06-01
naver,instant,naver_kin_source,kin,2026-06-01,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,21,2026-06-01
kakao,text,2605_kakao,260529_kakao_cta,2026-05-31,6,2,2,2,33.33,33.33,33.33,961000,"녹용경옥고 (2), 총명공진단 (1)",961000,"녹용경옥고 (2), 총명공진단 (1)",961000,"녹용경옥고 (2), 총명공진단 (1)",961000,"녹용경옥고 (2), 총명공진단 (1)",2,1922000,"녹용경옥고 (2), 총명공진단 (1)",4,1922000,"녹용경옥고 (2), 총명공진단 (1)",4,44,2026-05-31
kakao,content,2604_kakao,260421_kakao_profile,2026-05-31,5,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-05-31
kakao,text,2602_kakao,chat_menu,2026-05-31,4,1,1,1,25.0,25.0,25.0,585000,녹용경옥고 (1),585000,녹용경옥고 (1),585000,녹용경옥고 (1),1097000,-,2,1097000,-,2,1097000,-,2,230,2026-05-31
youtube,video,influencer,sunjamom,2026-05-31,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,6217000,-,0,7006000,-,1,8501000,-,2,7669,2026-05-31
kakao,text,chatroom,menu_kyungokgo,2026-05-31,3,2,2,2,66.67,66.67,66.67,1171000,녹용경옥고 (3),1171000,녹용경옥고 (3),1171000,녹용경옥고 (3),18049000,녹용경옥고 (3),13,18509000,녹용경옥고 (3),15,19260000,녹용경옥고 (3),15,846,2026-05-31
youtube,video,influencer,kimjebeop,2026-05-31,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,465000,-,0,465000,-,0,465000,-,0,2187,2026-05-31
blog,text,2605_naver,260429_blog,2026-05-31,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,360000,-,1,360000,-,1,360000,-,1,67,2026-05-31
localplay,free,chuseok,kyungheeshu,2026-05-31,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,25000,-,1,25000,-,1,25000,-,1,28,2026-05-31
kakao,text,chatroom,menu_gongjindan,2026-05-31,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-05-31
naver,text,2603_new-semester,260310_blog,2026-05-31,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,13,2026-05-31
youtube,video,influencer,joetube,2026-05-31,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-05-31
kakao,text,welcomemsg,homepage,2026-05-31,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,34195000,-,11,45942000,-,15,52068000,-,19,798,2026-05-31
kakao,text,2605_kakao,260529_kakao_cta,2026-05-30,7,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,961000,"녹용경옥고 (2), 총명공진단 (1)",2,1922000,"녹용경옥고 (2), 총명공진단 (1)",4,1922000,"녹용경옥고 (2), 총명공진단 (1)",4,44,2026-05-30
kakao,text,chatroom,menu_gongjindan,2026-05-30,5,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-05-30
kakao,text,2602_kakao,chat_menu,2026-05-30,4,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,-,2,1097000,-,2,1097000,-,2,230,2026-05-30
kakao,text,welcomemsg,homepage,2026-05-30,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,34195000,-,11,45942000,-,15,52068000,-,19,798,2026-05-30
kakao,content,2604_kakao,260421_kakao_profile,2026-05-30,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-05-30
youtube,video,influencer,sunjamom,2026-05-30,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,6217000,-,0,7006000,-,1,8501000,-,2,7669,2026-05-30
kakao,text,chatroom,menu_kyungokgo,2026-05-30,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,18049000,녹용경옥고 (3),13,18509000,녹용경옥고 (3),15,19260000,녹용경옥고 (3),15,846,2026-05-30
blog,text,2605_naver,260429_blog,2026-05-30,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,360000,-,1,360000,-,1,360000,-,1,67,2026-05-30
kakao,text,2605_kakao,260519_kakao_cta,2026-05-30,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,220000,-,1,581000,-,2,581000,-,2,32,2026-05-30
blog,text,ad,keyword6,2026-05-30,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1092000,-,0,1962000,-,0,1962000,-,0,206,2026-05-30
kakao,text,2605_kakao,260527_kakao_cta,2026-05-30,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,3116000,-,3,3116000,-,3,3702000,-,3,54,2026-05-30
web_page,video,2602_youtube,haru,2026-05-30,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,824,2026-05-30
kakao,text,2605_kakao,260529_kakao_cta,2026-05-29,31,0,2,2,0.0,6.45,6.45,0,-,961000,"녹용경옥고 (2), 총명공진단 (1)",961000,"녹용경옥고 (2), 총명공진단 (1)",961000,"녹용경옥고 (2), 총명공진단 (1)",2,1922000,"녹용경옥고 (2), 총명공진단 (1)",4,1922000,"녹용경옥고 (2), 총명공진단 (1)",4,44,2026-05-29
kakao,text,2602_kakao,chat_menu,2026-05-29,9,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,-,2,1097000,-,2,1097000,-,2,230,2026-05-29
kakao,text,chatroom,menu_gongjindan,2026-05-29,7,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-05-29
kakao,text,chatroom,menu_kyungokgo,2026-05-29,6,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,18049000,녹용경옥고 (3),13,18509000,녹용경옥고 (3),15,19260000,녹용경옥고 (3),15,846,2026-05-29
kakao,text,welcomemsg,homepage,2026-05-29,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,34195000,-,11,45942000,-,15,52068000,-,19,798,2026-05-29
kakao,content,2604_kakao,260421_kakao_profile,2026-05-29,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-05-29
naver,text,26_naver,260408_blog_phase1,2026-05-29,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,99,2026-05-29
web_blog,text,owned,healthy_teeth,2026-05-29,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,220000,-,1,19,2026-05-29
ig,social,unknown,link_in_bio,2026-05-29,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,329,2026-05-29
blog,text,2605_naver,260429_blog,2026-05-29,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,360000,-,1,360000,-,1,360000,-,1,67,2026-05-29
kakao,text,2605_kakao,260527_kakao_cta,2026-05-28,13,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,3116000,-,3,3116000,-,3,3702000,-,3,54,2026-05-28
naver,text,26_naver,260408_blog_phase1,2026-05-28,6,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,99,2026-05-28
kakao,content,2604_kakao,260421_kakao_profile,2026-05-28,4,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-05-28
kakao,text,chatroom,menu_kyungokgo,2026-05-28,4,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,18049000,녹용경옥고 (3),13,18509000,녹용경옥고 (3),15,19260000,녹용경옥고 (3),15,846,2026-05-28
youtube,video,influencer,sunjamom,2026-05-28,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,6217000,-,0,7006000,-,1,8501000,-,2,7669,2026-05-28
kakao,text,chatroom,menu_gongjindan,2026-05-28,3,1,1,1,33.33,33.33,33.33,1350000,사향공진단 (1),1350000,사향공진단 (1),1936000,"녹용경옥고 (2), 사향공진단 (1)",30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-05-28
kakao,text,welcomemsg,homepage,2026-05-28,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,34195000,-,11,45942000,-,15,52068000,-,19,798,2026-05-28
kakao,text,2602_kakao,chat_menu,2026-05-28,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,-,2,1097000,-,2,1097000,-,2,230,2026-05-28
web_page,video,2601_youtube,kimyoungok,2026-05-28,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,352000,-,1,704000,-,2,704000,-,2,4342,2026-05-28
youtube,video,influencer,joetube,2026-05-28,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-05-28
blog,text,2605_naver,260429_blog,2026-05-28,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,360000,-,1,360000,-,1,360000,-,1,67,2026-05-28
kakao,text,2605_kakao,260527_kakao_cta,2026-05-27,39,3,3,3,7.69,7.69,7.69,3116000,"침향공진단 (2), 사향공진단 (1), 녹용공진단 (1), 녹용한약 (1)",3116000,"침향공진단 (2), 사향공진단 (1), 녹용공진단 (1), 녹용한약 (1)",3702000,"침향공진단 (2), 녹용경옥고 (2), 사향공진단 (1), 녹용공진단 (1), 녹용한약 (1)",3116000,-,3,3116000,-,3,3702000,-,3,54,2026-05-27
kakao,text,2602_kakao,chat_menu,2026-05-27,9,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,-,2,1097000,-,2,1097000,-,2,230,2026-05-27
kakao,text,chatroom,menu_kyungokgo,2026-05-27,8,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,18049000,녹용경옥고 (3),13,18509000,녹용경옥고 (3),15,19260000,녹용경옥고 (3),15,846,2026-05-27
kakao,text,chatroom,menu_gongjindan,2026-05-27,5,1,1,1,20.0,20.0,20.0,1350000,사향공진단 (1),1350000,사향공진단 (1),1936000,"녹용경옥고 (2), 사향공진단 (1)",30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-05-27
kakao,content,2604_kakao,260421_kakao_profile,2026-05-27,4,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-05-27
kakao,text,welcomemsg,homepage,2026-05-27,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,34195000,-,11,45942000,-,15,52068000,-,19,798,2026-05-27
youtube,video,influencer,sunjamom,2026-05-27,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,6217000,-,0,7006000,-,1,8501000,-,2,7669,2026-05-27
youtube,video,influencer,joetube,2026-05-27,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-05-27
naver,text,26_naver,260408_blog_phase1,2026-05-27,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,99,2026-05-27
localplay,free,chuseok,tangjeongjain,2026-05-27,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,21,2026-05-27
kakao,text,2602_kakao,chat_menu,2026-05-26,6,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,-,2,1097000,-,2,1097000,-,2,230,2026-05-26
kakao,text,welcomemsg,homepage,2026-05-26,4,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,34195000,-,11,45942000,-,15,52068000,-,19,798,2026-05-26
kakao,content,2604_kakao,260421_kakao_profile,2026-05-26,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-05-26
web_page,video,2601_youtube,kimyoungok,2026-05-26,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,352000,-,1,704000,-,2,704000,-,2,4342,2026-05-26
kakao,text,2605_kakao,260522_kakao_cta,2026-05-26,2,1,1,1,50.0,50.0,50.0,176000,침향공진단 (1),176000,침향공진단 (1),176000,침향공진단 (1),176000,침향공진단 (1),1,537000,침향공진단 (1),2,537000,침향공진단 (1),2,43,2026-05-26
ig,social,unknown,link_in_bio,2026-05-26,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,329,2026-05-26
blog,text,2605_naver,260429_blog,2026-05-26,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,360000,-,1,360000,-,1,360000,-,1,67,2026-05-26
youtube,video,influencer,sunjamom,2026-05-26,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,6217000,-,0,7006000,-,1,8501000,-,2,7669,2026-05-26
youtube,video,influencer,joetube,2026-05-26,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-05-26
web_blog,text,owned,healthy_teeth,2026-05-26,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,220000,-,1,19,2026-05-26
blog,text,ad,keyword9,2026-05-26,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,19,2026-05-26
kakao,text,2605_kakao,260527_kakao_cta,2026-05-26,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,3116000,-,3,3116000,-,3,3702000,-,3,54,2026-05-26
kakao,text,welcomemsg,homepage,2026-05-25,4,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,34195000,-,11,45942000,-,15,52068000,-,19,798,2026-05-25
youtube,video,influencer,sunjamom,2026-05-25,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,6217000,-,0,7006000,-,1,8501000,-,2,7669,2026-05-25
kakao,text,chatroom,menu_gongjindan,2026-05-25,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-05-25
ig,social,unknown,link_in_bio,2026-05-25,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,329,2026-05-25
kakao,content,2604_kakao,260421_kakao_profile,2026-05-25,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-05-25
kakao,text,2602_kakao,chat_menu,2026-05-25,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,-,2,1097000,-,2,1097000,-,2,230,2026-05-25
web_page,video,2601_youtube,kimyoungok,2026-05-25,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,352000,-,1,704000,-,2,704000,-,2,4342,2026-05-25
youtube,video,influencer,joetube,2026-05-25,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-05-25
youtube,video,influencer,kimjebeop,2026-05-25,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,465000,-,0,465000,-,0,465000,-,0,2187,2026-05-25
kakao,text,2605_kakao,260522_kakao_cta,2026-05-25,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,176000,침향공진단 (1),1,537000,침향공진단 (1),2,537000,침향공진단 (1),2,43,2026-05-25
blog,text,2605_naver,260429_blog,2026-05-25,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,360000,-,1,360000,-,1,360000,-,1,67,2026-05-25
kakao,text,2602_kakao,chat_menu,2026-05-24,6,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,-,2,1097000,-,2,1097000,-,2,230,2026-05-24
kakao,text,welcomemsg,homepage,2026-05-24,5,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,34195000,-,11,45942000,-,15,52068000,-,19,798,2026-05-24
kakao,text,2605_kakao,260522_kakao_cta,2026-05-24,4,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,176000,침향공진단 (1),1,537000,침향공진단 (1),2,537000,침향공진단 (1),2,43,2026-05-24
web_page,video,2601_youtube,kimyoungok,2026-05-24,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,352000,-,1,704000,-,2,704000,-,2,4342,2026-05-24
kakao,text,chatroom,menu_kyungokgo,2026-05-24,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,18049000,녹용경옥고 (3),13,18509000,녹용경옥고 (3),15,19260000,녹용경옥고 (3),15,846,2026-05-24
kakao,text,chatroom,menu_gongjindan,2026-05-24,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-05-24
ig,social,unknown,link_in_bio,2026-05-24,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,329,2026-05-24
web_blog,text,owned,healthy_teeth,2026-05-24,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,220000,-,1,19,2026-05-24
youtube,video,influencer,joetube,2026-05-24,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-05-24
blog,text,2605_naver,260429_blog,2026-05-24,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,360000,-,1,360000,-,1,360000,-,1,67,2026-05-24
kakao,text,2605_kakao,260522_kakao_cta,2026-05-23,7,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,176000,침향공진단 (1),1,537000,침향공진단 (1),2,537000,침향공진단 (1),2,43,2026-05-23
kakao,text,welcomemsg,homepage,2026-05-23,5,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,34195000,-,11,45942000,-,15,52068000,-,19,798,2026-05-23
kakao,content,2604_kakao,260421_kakao_profile,2026-05-23,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-05-23
youtube,video,influencer,joetube,2026-05-23,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-05-23
naver,text,26_naver,260408_blog_phase1,2026-05-23,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,99,2026-05-23
youtube,video,influencer,sunjamom,2026-05-23,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,6217000,-,0,7006000,-,1,8501000,-,2,7669,2026-05-23
kakao,text,2605_kakao,260508_kakao_cta,2026-05-23,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1714000,-,3,1714000,-,3,2226000,-,4,48,2026-05-23
kakao,text,chatroom,menu_gongjindan,2026-05-23,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-05-23
kakao,text,2605_kakao,260501_kakao_cta,2026-05-23,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,2791000,-,4,2791000,-,4,3377000,-,5,93,2026-05-23
kakao,text,chatroom,menu_kyungokgo,2026-05-23,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,18049000,녹용경옥고 (3),13,18509000,녹용경옥고 (3),15,19260000,녹용경옥고 (3),15,846,2026-05-23
kakao,text,2602_kakao,chat_menu,2026-05-23,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,-,2,1097000,-,2,1097000,-,2,230,2026-05-23
web_page,video,2601_youtube,kimyoungok,2026-05-23,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,352000,-,1,704000,-,2,704000,-,2,4342,2026-05-23
kakao,text,2605_kakao,260522_kakao_cta,2026-05-22,29,0,1,1,0.0,3.45,3.45,0,-,361000,사향공진단 (2),361000,사향공진단 (2),176000,침향공진단 (1),1,537000,침향공진단 (1),2,537000,침향공진단 (1),2,43,2026-05-22
kakao,text,2602_kakao,chat_menu,2026-05-22,20,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,-,2,1097000,-,2,1097000,-,2,230,2026-05-22
kakao,text,chatroom,menu_gongjindan,2026-05-22,5,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-05-22
kakao,text,welcomemsg,homepage,2026-05-22,4,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,34195000,-,11,45942000,-,15,52068000,-,19,798,2026-05-22
kakao,text,chatroom,menu_kyungokgo,2026-05-22,4,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,18049000,녹용경옥고 (3),13,18509000,녹용경옥고 (3),15,19260000,녹용경옥고 (3),15,846,2026-05-22
youtube,video,influencer,joetube,2026-05-22,4,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-05-22
kakao,text,2605_kakao,260519_kakao_cta,2026-05-22,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,220000,-,1,581000,-,2,581000,-,2,32,2026-05-22
kakao,content,2604_kakao,260421_kakao_profile,2026-05-22,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-05-22
web_page,text,2605_offline,260508_leaflet,2026-05-22,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,7,2026-05-22
kakao,text,2605_kakao,260515_kakao_cta,2026-05-22,2,1,1,1,50.0,50.0,50.0,585000,녹용경옥고 (1),585000,녹용경옥고 (1),585000,녹용경옥고 (1),1097000,녹용경옥고 (1),2,1097000,녹용경옥고 (1),2,1097000,녹용경옥고 (1),2,53,2026-05-22
kakao,text,2605_kakao,260508_kakao_cta,2026-05-22,2,1,1,1,50.0,50.0,50.0,585000,녹용경옥고 (1),585000,녹용경옥고 (1),585000,녹용경옥고 (1),1714000,-,3,1714000,-,3,2226000,-,4,48,2026-05-22
ig,social,unknown,link_in_bio,2026-05-22,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,329,2026-05-22
kakao,text,2605_kakao,260501_kakao_cta,2026-05-22,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,2791000,-,4,2791000,-,4,3377000,-,5,93,2026-05-22
naver,text,26_naver,260408_blog_phase1,2026-05-22,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,99,2026-05-22
kakao,banner,26_kakao,260325_kakao,2026-05-22,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,374000,-,2,561000,-,3,748000,-,4,52,2026-05-22
blog,text,2605_naver,260429_blog,2026-05-22,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,360000,-,1,360000,-,1,360000,-,1,67,2026-05-22
web_page,video,2601_youtube,kimyoungok,2026-05-22,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,352000,-,1,704000,-,2,704000,-,2,4342,2026-05-22
youtube,video,influencer,sunjamom,2026-05-22,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,6217000,-,0,7006000,-,1,8501000,-,2,7669,2026-05-22
kakao,text,2602_kakao,chat_menu,2026-05-21,5,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,-,2,1097000,-,2,1097000,-,2,230,2026-05-21
kakao,text,welcomemsg,homepage,2026-05-21,5,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,34195000,-,11,45942000,-,15,52068000,-,19,798,2026-05-21
kakao,text,2605_kakao,260519_kakao_cta,2026-05-21,4,0,1,1,0.0,25.0,25.0,0,-,361000,사향공진단 (2),361000,사향공진단 (2),220000,-,1,581000,-,2,581000,-,2,32,2026-05-21
kakao,text,chatroom,menu_gongjindan,2026-05-21,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-05-21
kakao,text,chatroom,menu_kyungokgo,2026-05-21,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,18049000,녹용경옥고 (3),13,18509000,녹용경옥고 (3),15,19260000,녹용경옥고 (3),15,846,2026-05-21
youtube,video,influencer,sunjamom,2026-05-21,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,6217000,-,0,7006000,-,1,8501000,-,2,7669,2026-05-21
youtube,video,influencer,joetube,2026-05-21,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-05-21
kakao,text,2605_kakao,260515_kakao_cta,2026-05-21,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,녹용경옥고 (1),2,1097000,녹용경옥고 (1),2,1097000,녹용경옥고 (1),2,53,2026-05-21
blog,text,2605_naver,260429_blog,2026-05-21,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,360000,-,1,360000,-,1,360000,-,1,67,2026-05-21
naver,text,2603_new-semester,260310_blog,2026-05-21,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,13,2026-05-21
kakao,content,2604_kakao,260421_kakao_profile,2026-05-21,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-05-21
web_blog,text,owned,healthy_teeth,2026-05-21,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,220000,-,1,19,2026-05-21
ig,social,unknown,link_in_bio,2026-05-21,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,329,2026-05-21
web_page,video,2602_youtube,haru,2026-05-21,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,824,2026-05-21
web_page,text,2605_offline,260508_leaflet,2026-05-21,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,7,2026-05-21
